urban,sub_district,city,postal_code,province_code
LANGADAI,KELUMPANG HILIR,KOTABARU,72161,63
LANGKANG BARU,PULAU LAUT TIMUR,KOTABARU,72152,63
LANGKANG LAMA,PULAU LAUT TIMUR,KOTABARU,72152,63
LANGKAP,TEBING TINGGI,BALANGAN,71664,63
LANO,JARO,TABALONG,71574,63
LASUNG BATU,PARINGIN,BALANGAN,71662,63
LASUNG,KUSAN HULU,TANAH BUMBU,72272,63
LAWAHAN,BERUNTUNG BARU,BANJAR,70655,63
LAWAHAN,TAPIN SELATAN,TAPIN,71181,63
LAWIRAN,SIMPANG EMPAT,BANJAR,70673,63
LAYAP BARU,TATAH MAKMUR,BANJAR,70654,63
LAYAP,PARINGIN,BALANGAN,71616,63
LAYUH,BATU BENAWA,HULU SUNGAI TENGAH,71371,63
LEPASAN,BAKUMPAI,BARITO KUALA,70512,63
LIANG ANGGANG,BATI-BATI,TANAH LAUT,70852,63
LIHUNG,KARANG INTAN,BANJAR,70661,63
LIMAMAR,ASTAMBUL,BANJAR,70671,63
LIMBAR,BATANG ALAI SELATAN,HULU SUNGAI TENGAH,71381,63
LIMBUNGAN,HAMPANG,KOTABARU,72163,63
LIMBUR,HAMPANG,KOTABARU,72163,63
LIMPASU,LIMPASU,HULU SUNGAI TENGAH,71391,63
LINGSIR,PARINGIN SELATAN,BALANGAN,71662,63
LINTANG JAYA,PAMUKAN UTARA,KOTABARU,72169,63
LINUH,BUNGUR,TAPIN,71153,63
LIYU,HALONG,BALANGAN,71666,63
LOBANG BARU,PENGARON,BANJAR,70674,63
LOK BAINTAN DALAM,SEI / SUNGAI TABUK,BANJAR,70653,63
LOK BAINTAN,SEI / SUNGAI TABUK,BANJAR,70653,63
LOK BANGKAI,BANJANG,HULU SUNGAI UTARA,71416,63
LOK BATU,BATU MANDI,BALANGAN,71663,63
LOK BATU,HARUAI,TABALONG,71572,63
LOK BATUNG,PARINGIN,BALANGAN,71662,63
LOK BESAR,BATANG ALAI SELATAN,HULU SUNGAI TENGAH,71381,63
LOK BINUANG,TELAGA LANGSAT,HULU SUNGAI SELATAN,71292,63
LOK HAMAWANG,LAMPIHONG,BALANGAN,71661,63
LOK LAHUNG,LOKSADO,HULU SUNGAI SELATAN,71282,63
LOK PANGINANGAN,LAMPIHONG,BALANGAN,71661,63
LOK RAWA,MANDASTANA,BARITO KUALA,70581,63
LOK TAMU,MATARAMAN,BANJAR,70672,63
LOKBUNTAR,HARUYAN,HULU SUNGAI TENGAH,71363,63
LOKBUNTAR,SEI / SUNGAI TABUK,BANJAR,70653,63
LOKCANTUNG,SIMPANG EMPAT,BANJAR,70673,63
LOKGABANG,ASTAMBUL,BANJAR,70671,63
LOKPAIKAT,LOKPAIKAT,TAPIN,71154,63
LOKSADO,LOKSADO,HULU SUNGAI SELATAN,71282,63
LOKSOGA / LOK SUGA,HAUR GADING,HULU SUNGAI UTARA,71471,63
LOKTABAT SELATAN,BANJAR BARU SELATAN,BANJARBARU,70714,63
LOKTABAT UTARA,BANJAR BARU UTARA,BANJARBARU,70714,63
LOKTANAH,TELAGA BAUNTUNG,BANJAR,70673,63
LOKTANGGA,KARANG INTAN,BANJAR,70661,63
LOKTUNGGUL,PENGARON,BANJAR,70674,63
LONG KONG,DANAU PANGGANG,HULU SUNGAI UTARA,71453,63
LONGAWANG,TELAGA LANGSAT,HULU SUNGAI SELATAN,71292,63
LONTAR SELATAN,PULAU LAUT BARAT,KOTABARU,72153,63
LONTAR TIMUR,PULAU LAUT BARAT,KOTABARU,72153,63
LONTAR UTARA,PULAU LAUT BARAT,KOTABARU,72153,63
LUK BAYUR,TANTA,TABALONG,71561,63
LUMBANG,MUARA UYA,TABALONG,71573,63
LUMBU RAYA,TAPIN UTARA,TAPIN,71114,63
LUMPANGI,LOKSADO,HULU SUNGAI SELATAN,71282,63
LUMPANGI,PENGARON,BANJAR,70674,63
LUNGAU,KANDANGAN,HULU SUNGAI SELATAN,71213,63
LUNJUK,BATANG ALAI SELATAN,HULU SUNGAI TENGAH,71381,63
MABURAI,MURUNG PUDAK,TABALONG,71571,63
MABUUN,MURUNG PUDAK,TABALONG,71571,63
MADANG,MUARA HARUS,TABALONG,71555,63
MADANG,PADANG BATUNG,HULU SUNGAI SELATAN,71281,63
MADU RETNO,KARANG BINTANG,TANAH BUMBU,72211,63
MADUREJO,SAMBUNG MAKMUR,BANJAR,70674,63
MAGALAU HILIR,KELUMPANG BARAT,KOTABARU,72167,63
MAGALAU HULU,KELUMPANG BARAT,KOTABARU,72167,63
MAHANG BARU,LABUAN AMAS SELATAN,HULU SUNGAI TENGAH,71361,63
MAHANG MATANG LANDUNG,PANDAWAN,HULU SUNGAI TENGAH,71352,63
MAHANG PUTAT,PANDAWAN,HULU SUNGAI TENGAH,71352,63
MAHANG SEI / SUNGAI HANYAR,PANDAWAN,HULU SUNGAI TENGAH,71352,63
MAHE PASAR,HARUAI,TABALONG,71572,63
MAHE SEBERANG,TANJUNG,TABALONG,71515,63
MAHELA,BATANG ALAI SELATAN,HULU SUNGAI TENGAH,71381,63
MAJU BERSAMA,BATULICIN,TANAH BUMBU,72216,63
MAJU MULYO,MANTEWE,TANAH BUMBU,72211,63
MAKMUR KARYA,SIMPANG EMPAT,BANJAR,70673,63
MAKMUR,ANGSANA,TANAH BUMBU,72275,63
MAKMUR,GAMBUT,BANJAR,70652,63
MALI MALI,KARANG INTAN,BANJAR,70661,63
MALILINGIN,PADANG BATUNG,HULU SUNGAI SELATAN,71281,63
MALINAU,LOKSADO,HULU SUNGAI SELATAN,71282,63
MALINTANG BARU,GAMBUT,BANJAR,70652,63
MALINTANG,GAMBUT,BANJAR,70652,63
MALUKA BUALIN,KURAU,TANAH LAUT,70853,63
MALUTU,PADANG BATUNG,HULU SUNGAI SELATAN,71281,63
MAMANTANG,HALONG,BALANGAN,71666,63
MAMAR,AMUNTAI SELATAN,HULU SUNGAI UTARA,71452,63
MAMIGANG,HALONG,BALANGAN,71666,63
MAMPARI,BATU MANDI,BALANGAN,71663,63
MANARAP BARU,KERTAK HANYAR,BANJAR,70654,63
MANARAP HULU,DANAU PANGGANG,HULU SUNGAI UTARA,71453,63
MANARAP LAMA,KERTAK HANYAR,BANJAR,70654,63
MANARAP TENGAH,KERTAK HANYAR,BANJAR,70654,63
MANARAP,DANAU PANGGANG,HULU SUNGAI UTARA,71453,63
MANDALA MURUNG MESJID,DAHA UTARA,HULU SUNGAI SELATAN,71253,63
MANDALA,KELUMPANG HILIR,KOTABARU,72161,63
MANDALA,TELAGA LANGSAT,HULU SUNGAI SELATAN,71292,63
MANDAR SARI,KERTAK HANYAR,BANJAR,70654,63
